X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
X,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,
X,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,e,b,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,
X,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,
X,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,A,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,
X,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,d,.,A,A,A,.,.,.,.,.,A,.,.,.,.,.,.,.,.,.,.,.,.,.,A,.,.,.,.,.,.,.,.,X,
X,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,A,.,.,.,.,.,.,.,.,.,.,.,.,.,A,.,.,.,.,.,.,.,.,.,.,.,A,A,A,A,A,.,.,.,A,A,A,.,.,.,.,.,A,.,.,.,.,.,A,A,A,.,.,.,.,.,.,.,X,
X,.,.,.,.,.,.,A,.,.,.,.,.,.,.,.,.,.,.,.,A,A,A,.,.,.,.,.,.,.,.,.,.,.,A,A,A,.,.,.,.,.,.,.,.,.,A,A,A,A,A,A,A,.,A,A,A,A,A,.,.,.,A,A,A,.,.,.,A,A,A,A,A,.,.,.,.,.,.,X,
X,.,.,.,.,.,A,A,A,.,.,.,.,.,.,.,.,.,.,A,A,A,A,A,.,.,.,.,.,.,@,.,.,A,A,A,A,A,.,.,.,.,.,.,.,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,.,A,A,A,A,A,.,A,A,A,A,A,A,A,.,.,.,.,.,X,
X,.,.,.,.,A,A,A,A,A,.,.,.,.,.,.,.,.,A,A,A,A,A,A,A,.,.,.,.,.,.,.,A,A,A,A,A,A,A,.,.,.,.,.,A,A,A,A,A,A,A,A,A,A,A,.,.,.,.,.,A,A,A,A,A,A,A,.,.,.,.,.,.,.,.,.,.,.,.,X,
X,.,.,.,A,A,A,A,A,A,A,.,.,.,.,.,.,A,A,A,A,A,A,A,A,A,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,A,A,A,A,A,A,A,A,A,.,.,.,.,.,.,.,.,.,.,.,X,
X,.,.,A,A,A,A,A,A,A,A,A,.,.,A,.,A,A,A,A,A,A,A,A,A,A,A,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,A,A,A,A,A,A,A,A,A,A,A,.,.,.,.,.,.,.,.,.,.,X,
X,.,A,A,A,A,A,A,A,A,A,A,A,A,A,A,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,a,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,
X,.,.,.,.,.,.,.,.,.,.,.,A,A,A,A,A,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,
X,.,.,.,.,.,.,.,.,.,.,A,A,A,A,A,A,A,.,.,.,.,.,.,.,.,.,.,A,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,
X,.,.,.,.,.,.,.,.,.,A,A,A,A,A,A,A,A,A,.,.,.,.,.,.,.,.,A,A,A,.,.,.,.,.,.,.,.,.,.,.,.,A,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,
X,.,.,.,.,.,.,.,.,A,A,A,A,A,A,A,A,A,A,A,.,.,.,.,.,.,A,A,A,A,A,.,.,.,.,.,.,.,.,.,.,A,A,A,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,
